uid,questions,concepts,responses,selectmasks,timestamps,elapsed_time
0,4,1,0,1,1705509921,50
0,6,1,0,1,1705510355,78
0,11,2,1,1,1705510423,52
0,8,2,0,1,1705510527,94
0,9,2,0,1,1705510627,88
0,2,0,1,1,1705510664,12
0,2,0,1,1,1705510701,21
0,0,0,0,1,1705510787,60
0,7,1,1,1,1705511025,61
0,10,2,1,1,1705511399,45
0,4,1,0,1,1705511495,72
0,0,0,1,1,1705511544,33
0,8,2,1,1,1705511627,54
0,9,2,1,1,1705511697,59
0,6,1,1,1,1705511757,48
1,1,0,1,1,1706390549,27
1,3,0,1,1,1706391139,46
1,9,2,1,1,1706391202,45
1,8,2,1,1,1706391263,53
1,7,1,1,1,1706391290,20
1,4,1,0,1,1706391390,90
1,8,2,1,1,1706391485,65
1,11,2,1,1,1706391556,48
1,5,1,1,1,1706391591,28
1,9,2,0,1,1706436737,79
1,2,0,1,1,1706481798,20
1,8,2,1,1,1706481893,88
1,8,2,0,1,1706565745,79
1,8,2,0,1,1706565814,61
1,1,0,1,1,1706565841,16
2,3,0,0,1,1704280644,50
2,7,1,1,1,1704280725,54
2,5,1,1,1,1704280806,51
2,0,0,1,1,1704281037,13
2,9,2,0,1,1704281135,83
2,8,2,0,1,1704281231,85
2,9,2,1,1,1704281283,39
2,6,1,0,1,1704281380,87
2,6,1,1,1,1704281453,50
2,5,1,1,1,1704281890,56
2,2,0,1,1,1704281933,21
2,9,2,1,1,1704281978,40
2,10,2,1,1,1704282038,40
2,6,1,1,1,1704282104,52
2,3,0,1,1,1704282158,29
4,2,0,0,1,1705085904,97
4,8,2,0,1,1705146492,166
4,7,1,1,1,1705146898,70
4,7,1,1,1,1705147004,91
4,7,1,1,1,1705147105,81
4,6,1,1,1,1705218539,119
4,3,0,1,1,1705219167,66
4,1,0,1,1,1705219244,61
4,6,1,1,1,1705219355,99
4,9,2,1,1,1705219484,106
4,1,0,1,1,1705219566,55
4,2,0,1,1,1705219667,81
4,7,1,1,1,1705219779,92
4,0,0,1,1,1705219872,86
4,5,1,0,1,1705220022,136
